Format,Catalog,ScientificName,CommonName,Male,Female,Adult,Immature,Call,Song,Mechanical,Behaviors,Environmental,FX,People/Interview,ERSubtitles,FXSubtitles,PplSubtitles,Country,State,Locality,Latitude,Longitude,Captive,RecordistLast,RecordistFirst,RecordistMiddle,Year,Month,Day,Time,Length,Quality
Audio ,29510,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Peru,Madre de Dios,,-11.9166667,-77.3,,Parker,"Theodore A., III",,1982,8,8,00:00,:54,2
Audio ,28435,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Panama,Panamá,,9.1,-79.6666667,,van den Berg,Arnoud,B,1981,4,1,13:30,:13,2
Audio ,29213,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Peru,Loreto,,-3,-73.3333333,,Parker,"Theodore A., III",,1982,6,1,00:00,1:01,2
Audio ,30229,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,dawn song;song,,,,,,,Panama,Panamá,,9,-79,,Kibler,Lewis,F,1983,7,14,06:00,2:54,2
Audio ,30117,Thamnophilus doliatus , Barred Antshrike,,,Y,,Y,Y,,call;song,,,,,,,Peru,Cuzco [Cusco],,-13.13,-71.17,,Parker,"Theodore A., III",,1982,9,27,00:00,2:27,2
Audio ,29855,Taraba major , Great Antshrike,Y,,Y,,Y,,,call,,,,,,,Peru,Madre de Dios,,-11.9166667,-77.3,,Parker,"Theodore A., III",,1982,9,8,00:00,1:19,2
Audio ,32413,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Brazil,Amazonas,,-2.8166667,-60.0833333,,Bierregaard,Richard,O,1984,7,15,07:00,1:51,2
Audio ,25892,Taraba major , Great Antshrike,Y,,Y,,Y,Y,,call;song,,,,,,,Panama,Darién,,,,,Parker,"Theodore A., III",,1982,2,12,18:00,1:47,2
Audio ,25744,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Panama,Darién,,,,,Parker,"Theodore A., III",,1982,2,6,00:00,:56,2
Audio ,25704,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Panama,Darién,,,,,Parker,"Theodore A., III",,1982,2,4,00:00,1:59,2
Audio ,25606,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Panama,Panamá,,,,,Parker,"Theodore A., III",,1982,2,2,06:30,1:21,2
Audio ,25396,Taraba major , Great Antshrike,Y,Y,Y,,Y,,,call,,,,,,,Suriname,,,,,,Davis,Thomas,H,1981,2,16,13:30,:44,2
Audio ,18387,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Peru,Ucayali,,-10.1333333,-71.2166667,,O'Neill,John,P,1971,3,27,00:00,:53,2
Audio ,7229,Taraba major , Great Antshrike,,,,,,,,,,,,,,,Trinidad and Tobago,,,,,,Snow,David,W,1959,3,16,00:00,1:30,2
Audio ,7245,Thamnophilus doliatus , Barred Antshrike,,,,,Y,Y,,call;song,,,,,,,Trinidad and Tobago,,,,,,Snow,David,W,1959,3,28,00:00,1:40,2
Audio ,7239,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Mexico,Campeche,,,,,Davis,L. Irby,,1956,5,10,00:00,:50,2
Audio ,164038,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,Y,Y,,call;song,,,,,,,Costa Rica,Guanacaste,,,,,Ross,"David L., Jr.",,1996,4,2,852,5:11,1
Audio ,12887,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Peru,Madre de Dios,,-12.5,-69,,Parker,"Theodore A., III",,1977,7,,00:00,4:31,2
Audio ,12861,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,,Y,,song,,,,,,,Peru,Madre de Dios,,-12.5,-69,,Parker,"Theodore A., III",,1977,7,21,00:00,2:23,2
Audio ,140676,Taraba major , Great Antshrike,,,Y,,Y,,,call,,,,,,,Peru,Junín,,-11.130279,-74.286804,,Harvey,Michael,G,2008,11,18,18:15,1:38,1
Audio ,114690,Taraba major , Great Antshrike,,,,,Y,,,call,,,,,,,Brazil,Minas Gerais,,,,,Remold,Heinz,G,1998,11,15,14:00,:44,1
Audio ,83178,Taraba major , Great Antshrike,,,,,Y,,,call,,,,,,,Ecuador,Los Ríos,,-1.3333333,-79.5833333,,Parker,"Theodore A., III",,1991,7,7,00:00,:58,1
Audio ,82204,Cercomacra tyrannina , Dusky Antbird,,,,,,Y,,duet;song,,,,,,,Ecuador,Pichincha,,-0.33,-79.27,,Donahue,Paul,K,1984,4,21,11:25,:23,1
Audio ,80415,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Ecuador,Esmeraldas,,0.9,-79.6166667,,Parker,"Theodore A., III",,1991,2,5,00:00,:12,1
Audio ,105106,Taraba major , Great Antshrike,,,Y,,Y,,,call,,,,,,,Panama,Darién,,9,-79,,Macaulay,Linda,R,2000,1,20,06:30,1:07,1
Audio ,62024,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Brazil,Amazonas,,-3.1333333,-60.0333333,,Schwartz,Paul,A,1971,12,15,06:00,2:25,1
Audio ,62023,Cercomacra tyrannina , Dusky Antbird,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,Táchira,,8.21,-72.25,,Schwartz,Paul,A,1970,8,,07:15,1:48,1
Audio ,62019,Cercomacra tyrannina , Dusky Antbird,,,,,Y,Y,,call;song,,,,,,,Venezuela,,,7.9666667,-61.8833333,,Schwartz,Paul,A,1968,4,8,06:00,3:22,1
Audio ,62010,Cercomacra tyrannina , Dusky Antbird,Y,,,,,,,,,,,,,,Venezuela,,,7.9666667,-61.05,,Schwartz,Paul,A,1965,6,14,05:40,1:21,1
Audio ,61747,Thamnophilus doliatus , Barred Antshrike,,,,,,Y,,song,,,,,,,Venezuela,Táchira,,7.6,-71.75,,Schwartz,Paul,A,1968,12,11,06:20,1:08,1
Audio ,61746,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Venezuela,Cojedes,,9.5833333,-68,,Schwartz,Paul,A,1968,3,31,06:30,:50,1
Audio ,61701,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Venezuela,Falcón,,10.68,-71.03,,Schwartz,Paul,A,1974,6,9,10:30,:30,1
Audio ,61098,Taraba major , Great Antshrike,,,,,,Y,,song,,,,,,,Venezuela,Aragua,,10.3666667,-67.6833333,,Schwartz,Paul,A,1967,5,29,18:40,:48,1
Audio ,73064,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Guyana,Upper Takutu-Upper Essequibo,,,,,Parker,"Theodore A., III",,1993,2,15,00:00,1:10,1
Audio ,45519,Thamnophilus doliatus , Barred Antshrike,,,Y,,,Y,,song,,,,,,,Venezuela,,,6.42,-61.47,,Parker,"Theodore A., III",,1987,2,4,08:15,1:05,1
Audio ,49312,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Venezuela,,,8.1666667,-61.75,,Duncan,Charles,D,1989,8,17,06:36,2:59,1
Audio ,52697,Cercomacra tyrannina , Dusky Antbird,,,,,,,,,,,,,,,Venezuela,Barinas,,8.5,-70.4166667,,Hilty,Steven,L,1990,1,19,00:00,:22,1
Audio ,48066,Taraba major , Great Antshrike,Y,,,,Y,,,call,,,,,,,Brazil,Mato Grosso,,,,,Isler,Phyllis,R,1989,11,2,00:00,:53,1
Audio ,49402,Taraba major , Great Antshrike,Y,,Y,,,Y,,song,,,,,,,Ecuador,Morona-Santiago,,-3.05,-78.05,,Robbins,Mark,B,1989,8,6,07:00,3:00,1
Audio ,35120,Taraba major , Great Antshrike,,,Y,,,Y,,song,,,,,,,Peru,Madre de Dios,,-12.5,-69,,Kibler,Lewis,F,1985,8,8,06:10,:28,1
Audio ,30786,Thamnophilus doliatus , Barred Antshrike,Y,,Y,,Y,,,call,,,,,,,Peru,Loreto,,-3.1,-72.9166667,,Parker,"Theodore A., III",,1983,6,16,00:00,:28,1
Audio ,30628,Thamnophilus doliatus , Barred Antshrike,,,Y,,Y,,,call,,,,,,,Venezuela,Anzoátegui,,10,-64.5,,Parker,"Theodore A., III",,1983,9,5,00:00,:25,1
Audio ,41476,Taraba major , Great Antshrike,,,Y,,,Y,,counter singing;song,,,,,,,Costa Rica,Puntarenas,,9.4166667,-84.1666667,,Minis,Dolly,,1988,2,27,08:00,:24,1
Audio ,39009,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Peru,Madre de Dios,,-12.88,-69.28,,Parker,"Theodore A., III",,1986,7,28,00:00,:48,1
Audio ,31833,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,Y,Y,,call;song,,,,,,,Peru,Loreto,,-3.23,-72.92,,Parker,"Theodore A., III",,1983,6,27,00:00,2:26,1
Audio ,20754,Thamnophilus doliatus , Barred Antshrike,,,,,Y,,,call,,,,,,,El Salvador,Morazán,,13.5833333,-88.0833333,,Thurber,Walter,A,1975,5,23,17:30,1:45,1
Audio ,29243,Thamnophilus doliatus , Barred Antshrike,Y,Y,Y,,,Y,,song,,,,,,,Peru,Loreto,,-3,-73.3333333,,Parker,"Theodore A., III",,1982,6,1,00:00,2:11,1
